Trial,Reaction_Time,Response,Coherence,Direction,Key_Pressed,Radius,Theta,X,Y
0,1.013901,True,0.33,right,RightArrow,3.765573,55.77411,2.117973,3.113475
1,1.311054,False,0.33,right,UpArrow,0.8192801,64.94653,0.3469355,0.7421966
2,2.244801,False,0.33,down,UpArrow,0.4367099,258.7192,-0.08542786,-0.4282728
3,2.554199,True,0.33,left,LeftArrow,2.301572,318.4981,1.723725,-1.525125
4,2.344635,True,0.33,down,DownArrow,3.333058,231.7922,-2.061548,-2.619026
5,3.323654,True,0.33,up,UpArrow,0.1536236,352.8793,0.1524387,-0.01904327
6,15.47624,False,0.33,down,LeftArrow,1.30285,76.55612,0.3029033,1.267149
7,1.412125,False,0.33,down,UpArrow,3.169204,157.5486,-2.928989,1.21032
8,1.978043,False,0.33,left,RightArrow,2.609792,298.247,1.235147,-2.299005
9,0.9094238,False,0.33,down,UpArrow,3.144767,139.0074,-2.373651,2.062848
10,1.244667,True,0.33,right,RightArrow,1.450761,291.3167,0.5273857,-1.351507
11,2.410988,False,0.33,right,UpArrow,1.803741,167.5567,-1.761371,0.3886591
12,3.800613,False,0.33,down,RightArrow,0.3348255,4.860291,0.3336216,0.02836856
13,1.959816,True,0.33,up,UpArrow,3.595557,82.18589,0.4888504,3.56217
14,3.86879,False,0.33,down,UpArrow,0.9091301,283.41,0.2108435,-0.884343
15,4.979485,True,0.33,up,UpArrow,2.675993,17.42157,2.553239,0.8011923
16,1.354759,False,0.33,down,UpArrow,0.5242805,7.184801,0.5201638,0.06557178
17,4.260376,False,0.33,down,UpArrow,1.738525,194.331,-1.684426,-0.4303242
18,6.084824,False,0.33,down,RightArrow,0.7546606,222.4394,-0.5569332,-0.5092524
19,1.290695,True,0.33,left,LeftArrow,0.2930245,86.11685,0.01984418,0.2923518
20,1.245743,False,0.33,down,UpArrow,1.686913,216.2893,-1.359717,-0.9984211
21,2.443039,True,0.33,right,RightArrow,0.3358388,7.651505,0.3328486,0.04471606
22,8.762665,False,0.33,right,LeftArrow,2.660192,232.674,-1.613004,-2.115381
23,5.480011,False,0.33,up,LeftArrow,1.434675,187.5413,-1.422265,-0.1882885
24,2.346741,True,0.33,up,UpArrow,1.877352,263.4996,-0.2125361,-1.865282
25,4.410858,True,0.33,left,LeftArrow,1.231498,235.0871,-0.7048233,-1.009857
26,8.189758,True,0.33,right,RightArrow,3.380152,180.7818,-3.379837,-0.04612162
27,4.044434,True,0.33,left,LeftArrow,0.5067444,103.8128,-0.1209854,0.4920898
28,1.610779,True,0.33,left,LeftArrow,1.371898,315.073,0.9713132,-0.9688425
29,6.148453,True,0.33,down,DownArrow,2.487494,193.0844,-2.422914,-0.5631322
30,2.777924,True,0.33,right,RightArrow,3.638108,280.475,0.6614332,-3.577477
31,2.022186,False,0.33,right,UpArrow,2.852655,133.9621,-1.980263,2.053338
32,2.542694,True,0.33,up,UpArrow,1.468014,193.5476,-1.427167,-0.3438861
33,2.465927,True,0.33,left,LeftArrow,3.206652,257.7915,-0.6781085,-3.134133
34,2.600632,False,0.33,left,UpArrow,0.01630926,282.9613,0.003658057,-0.01589373
35,1.299271,True,0.33,left,LeftArrow,3.006969,43.7179,2.173291,2.078141
36,1.923264,True,0.33,up,UpArrow,1.593261,47.56818,1.074993,1.175955
37,0.9119873,True,0.33,up,UpArrow,0.009765625,276.7007,0.001139484,-0.009698918
38,18.74342,True,0.33,down,DownArrow,2.079916,252.1755,-0.6366692,-1.980077
39,0.9670105,True,0.33,up,UpArrow,1.04412,50.99914,0.6570979,0.8114235
40,0.8409271,True,0.33,up,UpArrow,1.562398,126.1825,-0.9223748,1.261075
41,4.134476,True,0.33,left,LeftArrow,3.521717,2.642341,3.517972,0.1623553
42,3.422989,False,0.33,up,DownArrow,1.502004,310.1989,0.9694588,-1.147243
43,4.656311,False,0.33,down,LeftArrow,2.926737,284.7809,0.7466812,-2.829886
44,1.001022,True,0.33,up,UpArrow,0.6795754,11.8812,0.6650167,0.1399131
45,2.111282,True,0.33,up,UpArrow,0.9030452,321.7449,0.7091265,-0.5591334
46,2.359665,True,0.33,down,DownArrow,2.859462,328.3768,2.434873,-1.499305
