Trial,Reaction_Time,Response,Coherence,Direction,Key_Pressed,Radius,Theta,X,Y
0,1.074917,True,0.33,up,UpArrow,3.892254,169.3502,-3.825211,0.719308
1,1.287457,False,0.33,up,RightArrow,2.437788,238.006,-1.291615,-2.067496
2,0.8004227,True,0.33,up,UpArrow,0.6024456,13.90238,0.5847979,0.1447486
3,0.7661591,True,0.33,left,LeftArrow,1.950918,313.4043,1.340557,-1.417388
4,0.6238594,True,0.33,up,UpArrow,2.546258,296.4459,1.133981,-2.279806
5,0.9133682,False,0.33,down,UpArrow,1.90798,231.7334,-1.181654,-1.498026
6,3.066074,False,0.33,left,DownArrow,2.187903,325.9615,1.813031,-1.224679
7,7.707558,False,0.33,down,UpArrow,3.899738,202.1276,-3.612513,-1.468914
8,5.17886,True,0.33,left,LeftArrow,3.138402,44.1813,2.250668,2.18725
9,0.7995529,True,0.33,left,LeftArrow,1.294384,20.72935,1.210589,0.4581525
10,0.9342995,True,0.33,right,RightArrow,3.701942,186.057,-3.681276,-0.3906183
11,2.912285,True,0.33,left,LeftArrow,0.9672227,130.7309,-0.6311197,0.7329444
12,4.072212,False,0.33,right,UpArrow,2.802506,92.73227,-0.1335927,2.79932
13,1.411911,False,0.33,left,RightArrow,3.373974,59.60478,1.707102,2.910241
14,4.223198,True,0.33,up,UpArrow,1.865009,54.0835,1.094025,1.51042
15,1.643265,True,0.33,right,RightArrow,0.9905472,108.0166,-0.3063689,0.9419776
16,3.955521,True,0.33,up,UpArrow,1.756407,92.00245,-0.06137276,1.755334
17,3.865707,True,0.33,up,UpArrow,2.297107,254.9431,-0.5967362,-2.218244
18,3.156288,True,0.33,left,LeftArrow,3.431873,210.2755,-2.963804,-1.730208
19,3.901123,True,0.33,right,RightArrow,0.583601,310.9911,0.3828084,-0.4405087
20,3.45562,True,0.33,right,RightArrow,0.7053547,244.5974,-0.3025799,-0.6371582
21,7.077324,True,0.33,left,LeftArrow,3.261308,158.6787,-3.038091,1.185804
22,2.86544,False,0.33,down,RightArrow,2.010231,181.9059,-2.009119,-0.06685744
23,1.929237,True,0.33,right,RightArrow,0.8252492,24.59972,0.750348,0.3435317
24,2.362633,True,0.33,up,UpArrow,0.8538728,52.17781,0.5236059,0.6744891
25,3.691788,True,0.33,right,RightArrow,3.255999,261.8249,-0.4629994,-3.222912
26,2.123482,True,0.33,down,DownArrow,2.194341,195.2789,-2.116781,-0.5782467
27,2.711411,True,0.33,up,UpArrow,1.287355,119.124,-0.6265574,1.124592
28,3.709656,False,0.33,down,UpArrow,0.1012793,352.5187,0.1004171,-0.0131868
29,4.668777,True,0.33,up,UpArrow,3.165184,190.1932,-3.115227,-0.5601377
30,4.6707,False,0.33,down,UpArrow,0.5671935,240.4012,-0.2801504,-0.4931777
31,3.223312,True,0.33,up,UpArrow,0.8146806,117.7117,-0.378845,0.7212356
32,0.933136,True,0.33,right,RightArrow,1.651122,122.0838,-0.8770092,1.39895
33,1.435349,True,0.33,left,LeftArrow,1.111596,239.7472,-0.5600403,-0.9602084
34,0.7028503,True,0.33,up,UpArrow,0.7038379,264.7488,-0.06441714,-0.7008839
35,7.421768,True,0.33,down,DownArrow,0.6894922,322.0814,0.54393,-0.4237212
36,1.000351,False,0.33,left,RightArrow,2.376489,272.3478,0.09735306,-2.374495
37,2.256805,True,0.33,down,DownArrow,1.429769,195.7412,-1.376148,-0.3878869
38,3.855469,False,0.33,up,RightArrow,1.130412,94.57106,-0.09008864,1.126816
39,1.94722,True,0.33,right,RightArrow,3.517282,333.2396,3.140572,-1.583691
40,3.567062,False,0.33,right,UpArrow,3.630469,330.9891,3.174946,-1.760688
41,5.837662,False,0.33,up,LeftArrow,1.78814,215.1474,-1.462115,-1.029399
42,7.16893,True,0.33,up,UpArrow,3.318523,354.102,3.300956,-0.3410039
43,2.156097,False,0.33,down,RightArrow,1.366283,345.6156,1.323451,-0.3394203
44,2.166641,True,0.33,right,RightArrow,3.768447,339.2223,3.523362,-1.336829
45,2.780075,True,0.33,down,DownArrow,2.42138,64.48752,1.042907,2.185275
46,3.489563,False,0.33,right,LeftArrow,0.603498,34.89764,0.4949742,0.3452685
